Year,Latin America and the Caribbean,Middle East and North Africa,South Asia,Sub-Saharan Africa,East Asia and Pacific,World,Europe and Central Asia
1990,15.84,6.03,44.58,54.28,60.23,34.82,1.93
1991,15.36666667,5.886666667,44.66,55.66666667,57.63,34.33666667,3.106666667
1992,14.89333333,5.743333333,44.74,57.05333333,55.03,33.85333333,4.283333333
1993,14.42,5.6,44.82,58.44,52.43,33.37,5.46
1994,14.35666667,5.34,43.29666667,58.19,48.08,31.82333333,6.073333333
1995,14.29333333,5.08,41.77333333,57.94,43.73,30.27666667,6.686666667
1996,14.23,4.82,40.25,57.69,39.38,28.73,7.3
1997,14.10666667,4.486666667,,57.5,38.66666667,28.49333333,7.526666667
1998,13.98333333,4.153333333,,57.31,37.95333333,28.25666667,7.753333333
1999,13.86,3.82,,57.12,37.24,28.02,7.98
2000,13.57,2.546666667,,56.60666667,34.47666667,27.11333333,7.413333333
2001,13.28,1.273333333,,56.09333333,31.71333333,26.20666667,6.846666667
2002,12.99,,38.45,55.58,28.95,25.3,6.28
2003,12.24666667,,36.84666667,53.73333333,25.44333333,23.68333333,5.846666667
2004,11.50333333,,35.24333333,51.88666667,21.93666667,22.06666667,5.413333333
2005,10.76,3.02,33.64,50.04,18.43,20.45,4.98
2006,9.55,2.706666667,32.21666667,49.03666667,17.24666667,19.57333333,4.36
2007,8.34,2.393333333,30.79333333,48.03333333,16.06333333,18.69666667,3.74
2008,7.13,2.08,29.37,47.03,14.88,17.82,3.12
2009,6.795,,26.975,46.355,12.995,16.685,3.005
2010,6.46,,24.58,45.68,11.11,15.55,2.89
2011,5.98,,19.85,44.06,8.44,13.5,2.64
2012,5.55,,17.51,42.6,7.12,12.41,2.42
2013,5.4,,15.09,40.99,3.54,10.67,2.15